172.18.0.2 - - [08/Dec/2024:19:34:51 +0200] "GET / HTTP/1.1" 200 289 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:37:15 +0200] "GET / HTTP/1.1" 200 289 "http://212.227.241.186:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:37:41 +0200] "GET / HTTP/1.1" 200 289 "http://212.227.241.186:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:44:22 +0200] "GET / HTTP/1.1" 200 270 "http://212.227.241.186:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:45:51 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:46:15 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:50:36 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:50:43 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:53:04 +0200] "GET / HTTP/1.1" 200 226 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:53:44 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:54:54 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.18.0.2 - - [08/Dec/2024:19:55:15 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0"
172.18.0.2 - - [08/Dec/2024:19:55:30 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0"
172.18.0.2 - - [08/Dec/2024:19:56:00 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0"
172.18.0.2 - - [08/Dec/2024:19:56:10 +0200] "GET / HTTP/1.1" 200 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0"
